# Momentum, Angular Momentum
# origin      : (0.000000e+00 0.000000e+00 0.000000e+00)
# axis        : (1.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(momentum_x momentum_y momentum_z)	(momentum_r momentum_rtheta momentum_axis)	volume        
10            	(1.928785e+00 7.463608e-02 5.714084e-03)	(6.338165e-03 -8.243391e-02 1.928785e+00)	1.931355e+00
20            	(1.931362e+00 1.355819e-01 1.005214e-02)	(1.112757e-02 -1.498861e-01 1.931362e+00)	1.931355e+00
30            	(1.931466e+00 1.935747e-01 1.389126e-02)	(1.537421e-02 -2.140337e-01 1.931466e+00)	1.931355e+00
40            	(1.931547e+00 2.499358e-01 1.732425e-02)	(1.916547e-02 -2.763519e-01 1.931547e+00)	1.931355e+00
50            	(1.931500e+00 3.053795e-01 2.024242e-02)	(2.239315e-02 -3.376838e-01 1.931500e+00)	1.931355e+00
60            	(1.931435e+00 3.603696e-01 2.272590e-02)	(2.513789e-02 -3.985177e-01 1.931435e+00)	1.931355e+00
70            	(1.931479e+00 4.154788e-01 2.484445e-02)	(2.748138e-02 -4.594795e-01 1.931479e+00)	1.931355e+00
80            	(1.931516e+00 4.707249e-01 2.699707e-02)	(2.986209e-02 -5.205969e-01 1.931516e+00)	1.931355e+00
90            	(1.931521e+00 5.256502e-01 2.936714e-02)	(3.248311e-02 -5.813609e-01 1.931521e+00)	1.931355e+00
100           	(1.931533e+00 5.790836e-01 3.198404e-02)	(3.537698e-02 -6.404780e-01 1.931533e+00)	1.931355e+00
110           	(1.931504e+00 6.279894e-01 3.456207e-02)	(3.822609e-02 -6.945942e-01 1.931504e+00)	1.931355e+00
120           	(1.931477e+00 6.684340e-01 3.665977e-02)	(4.054441e-02 -7.393549e-01 1.931477e+00)	1.931355e+00
130           	(1.931398e+00 6.985915e-01 3.801390e-02)	(4.204245e-02 -7.727306e-01 1.931398e+00)	1.931355e+00
140           	(1.931386e+00 7.203759e-01 3.867597e-02)	(4.277605e-02 -7.968342e-01 1.931386e+00)	1.931355e+00
150           	(1.931352e+00 7.365088e-01 3.894231e-02)	(4.307113e-02 -8.146851e-01 1.931352e+00)	1.931355e+00
160           	(1.931355e+00 7.485599e-01 3.901698e-02)	(4.315398e-02 -8.280196e-01 1.931355e+00)	1.931355e+00
170           	(1.931311e+00 7.574381e-01 3.908329e-02)	(4.322756e-02 -8.378423e-01 1.931311e+00)	1.931355e+00
180           	(1.931318e+00 7.635159e-01 3.914584e-02)	(4.329811e-02 -8.445670e-01 1.931318e+00)	1.931355e+00
190           	(1.931322e+00 7.674236e-01 3.917927e-02)	(4.333654e-02 -8.488910e-01 1.931322e+00)	1.931355e+00
200           	(1.931329e+00 7.698262e-01 3.921690e-02)	(4.337913e-02 -8.515492e-01 1.931329e+00)	1.931355e+00
210           	(1.931333e+00 7.712618e-01 3.927229e-02)	(4.344089e-02 -8.531377e-01 1.931333e+00)	1.931355e+00
220           	(1.931337e+00 7.721438e-01 3.932148e-02)	(4.349559e-02 -8.541131e-01 1.931337e+00)	1.931355e+00
227           	(1.931341e+00 7.725589e-01 3.934998e-02)	(4.352716e-02 -8.545725e-01 1.931341e+00)	1.931355e+00
